mpg,cylinders,displacement,horsepower,weight,acceleration,model,origin,car_name
18.0,8,307.0,130.0,3504.0,12.0,70,1,chevrolet chevelle malibu
15.0,8,350.0,165.0,3693.0,11.5,70,1,buick skylark 320
18.0,8,318.0,150.0,3436.0,11.0,70,1,plymouth satellite
16.0,8,304.0,150.0,3433.0,12.0,70,1,amc rebel sst
17.0,8,302.0,140.0,3449.0,10.5,70,1,ford torino
15.0,8,429.0,198.0,4341.0,10.0,70,1,ford galaxie 500
14.0,8,454.0,220.0,4354.0,9.0,70,1,chevrolet impala
14.0,8,440.0,215.0,4312.0,8.5,70,1,plymouth fury iii
14.0,8,455.0,225.0,4425.0,10.0,70,1,pontiac catalina
15.0,8,390.0,190.0,3850.0,8.5,70,1,amc ambassador dpl
15.0,8,383.0,170.0,3563.0,10.0,70,1,dodge challenger se
14.0,8,340.0,160.0,3609.0,8.0,70,1,plymouth 'cuda 340
15.0,8,400.0,150.0,3761.0,9.5,70,1,chevrolet monte carlo
14.0,8,455.0,225.0,3086.0,10.0,70,1,buick estate wagon (sw)
24.0,4,113.0,95.00,2372.0,15.0,70,3,toyota corona mark ii
22.0,6,198.0,95.00,2833.0,15.5,70,1,plymouth duster
18.0,6,199.0,97.00,2774.0,15.5,70,1,amc hornet
21.0,6,200.0,85.00,2587.0,16.0,70,1,ford maverick
27.0,4,97.0,88.00,2130.0,14.5,70,3,datsun pl510
26.0,4,97.0,46.00,1835.0,20.5,70,2,volkswagen 1131 deluxe sedan
25.0,4,110.0,87.00,2672.0,17.5,70,2,peugeot 504
24.0,4,107.0,90.00,2430.0,14.5,70,2,audi 100 ls
25.0,4,104.0,95.00,2375.0,17.5,70,2,saab 99e
26.0,4,121.0,113.0,2234.0,12.5,70,2,bmw 2002
21.0,6,199.0,90.00,2648.0,15.0,70,1,amc gremlin
10.0,8,360.0,215.0,4615.0,14.0,70,1,ford f250
10.0,8,307.0,200.0,4376.0,15.0,70,1,chevy c20
11.0,8,318.0,210.0,4382.0,13.5,70,1,dodge d200
9.0,8,304.0,193.0,4732.0,18.5,70,1,hi 1200d
27.0,4,97.0,88.00,2130.0,14.5,71,3,datsun pl510
28.0,4,140.0,90.00,2264.0,15.5,71,1,chevrolet vega 2300
25.0,4,113.0,95.00,2228.0,14.0,71,3,toyota corona
19.0,6,232.0,100.0,2634.0,13.0,71,1,amc gremlin
16.0,6,225.0,105.0,3439.0,15.5,71,1,plymouth satellite custom
17.0,6,250.0,100.0,3329.0,15.5,71,1,chevrolet chevelle malibu
19.0,6,250.0,88.00,3302.0,15.5,71,1,ford torino 500
18.0,6,232.0,100.0,3288.0,15.5,71,1,amc matador
14.0,8,350.0,165.0,4209.0,12.0,71,1,chevrolet impala
14.0,8,400.0,175.0,4464.0,11.5,71,1,pontiac catalina brougham
14.0,8,351.0,153.0,4154.0,13.5,71,1,ford galaxie 500
14.0,8,318.0,150.0,4096.0,13.0,71,1,plymouth fury iii
12.0,8,383.0,180.0,4955.0,11.5,71,1,dodge monaco (sw)
13.0,8,400.0,170.0,4746.0,12.0,71,1,ford country squire (sw)
13.0,8,400.0,175.0,5140.0,12.0,71,1,pontiac safari (sw)
18.0,6,258.0,110.0,2962.0,13.5,71,1,amc hornet sportabout (sw)
22.0,4,140.0,72.00,2408.0,19.0,71,1,chevrolet vega (sw)
19.0,6,250.0,100.0,3282.0,15.0,71,1,pontiac firebird
18.0,6,250.0,88.00,3139.0,14.5,71,1,ford mustang
23.0,4,122.0,86.00,2220.0,14.0,71,1,mercury capri 2000
28.0,4,116.0,90.00,2123.0,14.0,71,2,opel 1900
30.0,4,79.0,70.00,2074.0,19.5,71,2,peugeot 304
30.0,4,88.0,76.00,2065.0,14.5,71,2,fiat 124b
31.0,4,71.0,65.00,1773.0,19.0,71,3,toyota corolla 1200
35.0,4,72.0,69.00,1613.0,18.0,71,3,datsun 1200
27.0,4,97.0,60.00,1834.0,19.0,71,2,volkswagen model 111
26.0,4,91.0,70.00,1955.0,20.5,71,1,plymouth cricket
24.0,4,113.0,95.00,2278.0,15.5,72,3,toyota corona hardtop
25.0,4,97.5,80.00,2126.0,17.0,72,1,dodge colt hardtop
23.0,4,97.0,54.00,2254.0,23.5,72,2,volkswagen type 3
20.0,4,140.0,90.00,2408.0,19.5,72,1,chevrolet vega
21.0,4,122.0,86.00,2226.0,16.5,72,1,ford pinto runabout
13.0,8,350.0,165.0,4274.0,12.0,72,1,chevrolet impala
14.0,8,400.0,175.0,4385.0,12.0,72,1,pontiac catalina
15.0,8,318.0,150.0,4135.0,13.5,72,1,plymouth fury iii
14.0,8,351.0,153.0,4129.0,13.0,72,1,ford galaxie 500
17.0,8,304.0,150.0,3672.0,11.5,72,1,amc ambassador sst
11.0,8,429.0,208.0,4633.0,11.0,72,1,mercury marquis
13.0,8,350.0,155.0,4502.0,13.5,72,1,buick lesabre custom
12.0,8,350.0,160.0,4456.0,13.5,72,1,oldsmobile delta 88 royale
13.0,8,400.0,190.0,4422.0,12.5,72,1,chrysler newport royal
19.0,3,70.0,97.00,2330.0,13.5,72,3,mazda rx2 coupe
15.0,8,304.0,150.0,3892.0,12.5,72,1,amc matador (sw)
13.0,8,307.0,130.0,4098.0,14.0,72,1,chevrolet chevelle concours (sw)
13.0,8,302.0,140.0,4294.0,16.0,72,1,ford gran torino (sw)
14.0,8,318.0,150.0,4077.0,14.0,72,1,plymouth satellite custom (sw)
18.0,4,121.0,112.0,2933.0,14.5,72,2,volvo 145e (sw)
22.0,4,121.0,76.00,2511.0,18.0,72,2,volkswagen 411 (sw)
21.0,4,120.0,87.00,2979.0,19.5,72,2,peugeot 504 (sw)
26.0,4,96.0,69.00,2189.0,18.0,72,2,renault 12 (sw)
22.0,4,122.0,86.00,2395.0,16.0,72,1,ford pinto (sw)
